MXC89L	6.0.1	Pixel C
MTC20F	6.0.1	Nexus 5X, Nexus 6P
MOB30Y	6.0.1	Nexus 5
MOB30X	6.0.1	Nexus 7
MOB30W	6.0.1	Nexus 6, Nexus 9, Nexus Player
MMB30S	6.0.1	Nexus 7
MMB30R	6.0.1	Nexus 6
MXC89K	6.0.1	Pixel C
MTC19Z	6.0.1	Nexus 5X
MTC19X	6.0.1	Nexus 6P
MOB30P	6.0.1	Nexus 5, Nexus 7, Nexus 9, Nexus Player
MOB30O	6.0.1	Nexus 6
MMB30M	6.0.1	Nexus 7
MMB30K	6.0.1	Nexus 6
MOB30M	6.0.1	Nexus 5, Nexus 6, Nexus 7, Nexus 9, Nexus Player
MTC19V	6.0.1	Nexus 5X, Nexus 6P
MOB30J	6.0.1	Nexus 7
MOB30I	6.0.1	Nexus 6
MOB30H	6.0.1	Nexus 5
MOB30G	6.0.1	Nexus 9, Nexus Player
MXC89H	6.0.1	Pixel C
MXC89F	6.0.1	Pixel C
MMB30J	6.0.1	Nexus 6, Nexus 7
MTC19T	6.0.1	Nexus 5X, Nexus 6P
M5C14J	6.0.1	Pixel C
MOB30D	6.0.1	Nexus 5, Nexus 6, Nexus 7, Nexus 9, Nexus Player
MHC19Q	6.0.1	Nexus 5X, Nexus 6P
MHC19J	6.0.1	Nexus 5X
MHC19I	6.0.1	Nexus 6P
MMB29X	6.0.1	Nexus 5, Nexus 6, Nexus 7, Nexus 9
MXC14G	6.0.1	Pixel C
MMB29V	6.0.1	Nexus 5, Nexus 5X, Nexus 6, Nexus 6P, Nexus 7, Nexus 9
MXB48T	6.0.1	Pixel C
MMB29U	6.0.1	Nexus Player
MMB29R	6.0.1	Nexus 9
MMB29Q	6.0.1	Nexus 5, Nexus 5X, Nexus 6, Nexus 6P, Nexus 7
MMB29T	6.0.1	Nexus Player
MMB29S	6.0.1	Nexus 5, Nexus 6, Nexus 9
MMB29P	6.0.1	Nexus 5X, Nexus 6P
MMB29O	6.0.1	Nexus 7
MXB48K	6.0.1	Pixel C
MXB48J	6.0.1	Pixel C
MMB29M	6.0.1	Nexus 6P, Nexus Player
MMB29K	6.0.1	Nexus 5, Nexus 5X, Nexus 6, Nexus 7, Nexus 9
MMB29N	6.0.0	Nexus 6P
MDB08M	6.0.0	Nexus 5X, Nexus 6P
MDB08L	6.0.0	Nexus 5X, Nexus 6P
MDB08K	6.0.0	Nexus 6P
MDB08I	6.0.0	Nexus 5X
MDA89E	6.0.0	Nexus 5X
MDA89D	6.0.0	Nexus 6P
MRA59B	6.0.0	Nexus 7
MRA58X	6.0.0	Nexus 6
MRA58V	6.0.0	Nexus 7
MRA58U	6.0.0	Nexus 7
MRA58N	6.0.0	Nexus 5, Nexus 6, Nexus 7, Nexus 9, Nexus Player
MRA58K	6.0.0	Nexus 5, Nexus 6, Nexus 7, Nexus 9, Nexus Player
LMY49M	5.1.1	Nexus 10
LMY49J	5.1.1	Nexus 10
LMY49I	5.1.1	Nexus 10
LMY49H	5.1.1	Nexus 10
LMY49G	5.1.1	Nexus 10
LMY49F	5.1.1	Nexus 9, Nexus 10
LMY48Z	5.1.1	Nexus 6, Nexus 7, Nexus 9, Nexus 10
LYZ28N	5.1.1	Nexus 6
LMY48Y	5.1.1	Nexus 6
LMY48X	5.1.1	Nexus 6, Nexus 7, Nexus 9, Nexus 10
LMY48W	5.1.1	Nexus 6
LVY48H	5.1.1	Nexus 6
LYZ28M	5.1.1	Nexus 6
LMY48U	5.1.1	Nexus 7
LMY48T	5.1.1	Nexus 4, Nexus 6, Nexus 9, Nexus 10
LVY48F	5.1.1	Nexus 6
LYZ28K	5.1.1	Nexus 6
LMY48P	5.1.1	Nexus 7
LMY48N	5.1.1	Nexus Player
LMY48M	5.1.1	Nexus 4, Nexus 5, Nexus 6, Nexus 7, Nexus 9, Nexus 10
LVY48E	5.1.1	Nexus 6
LYZ28J	5.1.1	Nexus 6
LMY48J	5.1.1	Nexus Player
LMY48I	5.1.1	Nexus 4, Nexus 5, Nexus 6, Nexus 7, Nexus 9, Nexus 10
LVY48C	5.1.1	Nexus 6
LMY48G	5.1.1	Nexus 7
LYZ28E	5.1.1	Nexus 6
LMY47Z	5.1.1	Nexus 6
LMY48B	5.1.1	Nexus 5
LMY47X	5.1.1	Nexus 9
LMY47V	5.1.1	Nexus 7, Nexus 10, Nexus Player
LMY47O	5.1.0	Nexus 4, Nexus 7
LMY47M	5.1.0	Nexus 6
LMY47I	5.1.0	Nexus 5, Nexus 6
LMY47E	5.1.0	Nexus 6
